StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,Q10,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q9,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which state has the higher homicide rate?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which state higher higher rainfall?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which state had the higher pizza consumption?,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""MTurkCode""}"
2018-05-03 11:02:59,2018-05-03 11:04:23,IP Address,75.15.12.212,100,84,True,2018-05-03 11:04:24,R_2DYzbICetnNevJf,,,,,39.083602905273,-86.432098388672,anonymous,EN,0,0,5.069,0,Utah,0,0,5.067,0,Virginia,0,0,5.068,0,North Dakota,72
2018-05-03 11:03:38,2018-05-03 11:04:47,IP Address,69.15.115.81,100,69,True,2018-05-03 11:04:48,R_31uRADsXTKo1iRW,,,,,32.800796508789,-97.212600708008,anonymous,EN,0,0,5.055,0,Utah,0,0,4.163,0,Virginia,0,0,4.283,0,North Dakota,48
2018-05-03 11:04:03,2018-05-03 11:05:24,IP Address,104.129.136.194,100,80,True,2018-05-03 11:05:24,R_1QxzMSx4NRAgSiD,,,,,40.766494750977,-73.827003479004,anonymous,EN,0,0,5.066,0,Utah,0,0,5.046,0,Virginia,0,0,5.06,0,North Dakota,17
2018-05-03 11:05:23,2018-05-03 11:05:56,IP Address,159.118.137.78,100,33,True,2018-05-03 11:05:56,R_3JkraEmmZ687cXm,,,,,37.120498657227,-94.497703552246,anonymous,EN,2.869,2.869,3.339,1,Kansas,0,0,4.338,0,Kentucky,0,0,4.924,0,North Dakota,0
2018-05-03 11:07:40,2018-05-03 11:08:45,IP Address,216.79.28.76,100,65,True,2018-05-03 11:08:46,R_3I4E8KIK3jL5scP,,,,,34.831497192383,-87.666397094727,anonymous,EN,0,0,5.076,0,I am not sure,0,0,4.378,0,Virginia,0,0,3.004,0,North Dakota,30
2018-05-03 11:12:00,2018-05-03 11:12:46,IP Address,155.178.180.11,100,45,True,2018-05-03 11:12:46,R_yKkFULoTn0TB0Vb,,,,,38.81770324707,-77.152702331543,anonymous,EN,0,0,5.01,0,Utah,0,0,4.515,0,Virginia,0,0,3.524,0,North Dakota,23
2018-05-03 11:17:46,2018-05-03 11:18:33,IP Address,104.129.206.71,100,46,True,2018-05-03 11:18:33,R_0SNGGXn7yhocBbz,,,,,33.748992919922,-84.388000488281,anonymous,EN,0,0,5.048,0,Kansas,0,0,5.049,0,Virginia,0,0,5.047,0,North Dakota,91
2018-05-03 11:18:48,2018-05-03 11:20:19,IP Address,107.205.136.49,100,91,True,2018-05-03 11:20:19,R_2E6wb6lkVRcrvt3,,,,,39.083602905273,-86.432098388672,anonymous,EN,0,0,5.009,0,Utah,0,0,5.024,0,Virginia,0,0,5.046,0,North Dakota,10
